Rk,Year,Tm,Lg,W,L,Finish,Playoffs,Stadium,Attendance,Attend/G,Rank,Est. Payroll,PPF,BPF
1,2014,Atlanta Braves,NL East,79,83,2,,Turner Field,2354305,29065,11th of 15,$103500250,99,99
2,2013,Atlanta Braves,NL East,96,66,1,Lost LDS (3-1),Turner Field,2548679,31465,8th of 15,$95618750,100,101
3,2012,Atlanta Braves,NL East,94,68,2,Lost NLWC (1-0),Turner Field,2420171,29879,8th of 16,$86208000,101,102
4,2011,Atlanta Braves,NL East,89,73,2,,Turner Field,2372940,29296,8th of 16,$93855132,100,101
5,2010,Atlanta Braves,NL East,91,71,2,Lost LDS (3-1),Turner Field,2510119,30989,9th of 16,$84423666,97,98
6,2009,Atlanta Braves,NL East,86,76,3,,Turner Field,2373631,29304,10th of 16,$99593166,98,99
7,2008,Atlanta Braves,NL East,72,90,4,,Turner Field,2532834,31270,10th of 16,$102365683,97,98
8,2007,Atlanta Braves,NL East,84,78,3,,Turner Field,2745207,33891,10th of 16,$87290833,98,98
9,2006,Atlanta Braves,NL East,79,83,3,,Turner Field,2550524,31488,9th of 16,$90156876,99,100
10,2005,Atlanta Braves,NL East,90,72,1,Lost LDS (3-1),Turner Field,2521167,31126,10th of 16,$86457302,100,101
11,2004,Atlanta Braves,NL East,96,66,1,Lost LDS (3-2),Turner Field,2327565,28735,10th of 16,$90182500,99,101
12,2003,Atlanta Braves,NL East,101,61,1,Lost LDS (3-2),Turner Field,2401084,29643,7th of 16,$106243667,100,101
13,2002,Atlanta Braves,NL East,101,59,1,Lost LDS (3-2),Turner Field,2603484,32142,8th of 16,$93470367,101,102
14,2001,Atlanta Braves,NL East,88,74,1,Lost NLCS (4-1),Turner Field,2823530,34858,6th of 16,$91936166,102,103
15,2000,Atlanta Braves,NL East,95,67,1,Lost LDS (3-0),Turner Field,3234304,39930,4th of 16,$84737836,99,100
16,1999,Atlanta Braves,NL East,103,59,1,Lost WS (4-0),Turner Field,3284897,40554,2nd of 16,$73341000,98,99
17,1998,Atlanta Braves,NL East,106,56,1,Lost NLCS (4-2),Turner Field,3360860,41492,3rd of 16,$61186000,98,100
18,1997,Atlanta Braves,NL East,101,61,1,Lost NLCS (4-2),Turner Field,3464488,42771,2nd of 14,$52278500,99,102
19,1996,Atlanta Braves,NL East,96,66,1,Lost WS (4-2),Atlanta-Fulton County Stadium,2901242,35818,3rd of 14,$49698500,104,105
20,1995,Atlanta Braves,NL East,90,54,1,Won WS (4-2),Atlanta-Fulton County Stadium,2561831,35581,3rd of 14,$47235445,101,103
21,1994,Atlanta Braves,NL East,68,46,2,,Atlanta-Fulton County Stadium,2539240,46168,2nd of 14,$49383513,100,102
22,1993,Atlanta Braves,NL West,104,58,1,Lost NLCS (4-2),Atlanta-Fulton County Stadium,3884720,47960,2nd of 14,$41641417,99,100
23,1992,Atlanta Braves,NL West,98,64,1,Lost WS (4-2),Atlanta-Fulton County Stadium,3077400,37993,1st of 12,$34625333,105,107
24,1991,Atlanta Braves,NL West,94,68,1,Lost WS (4-3),Atlanta-Fulton County Stadium,2140217,26422,6th of 12,$18403500,106,106
25,1990,Atlanta Braves,NL West,65,97,6,,Atlanta-Fulton County Stadium,980129,12100,12th of 12,$15065501,106,105
26,1989,Atlanta Braves,NL West,63,97,6,,Atlanta-Fulton County Stadium,984930,12467,12th of 12,$11180334,103,102
27,1988,Atlanta Braves,NL West,54,106,6,,Atlanta-Fulton County Stadium,848089,10735,12th of 12,$13065674,106,104
28,1987,Atlanta Braves,NL West,69,92,5,,Atlanta-Fulton County Stadium,1217402,15030,11th of 12,$17444560,106,104
29,1986,Atlanta Braves,NL West,72,89,6,,Atlanta-Fulton County Stadium,1387181,17126,10th of 12,$17102786,106,105
30,1985,Atlanta Braves,NL West,66,96,5,,Atlanta-Fulton County Stadium,1350137,16668,9th of 12,$14807000,106,105
31,1984,Atlanta Braves,NL West,80,82,2,,Atlanta-Fulton County Stadium,1724892,21295,7th of 12,,107,107
32,1983,Atlanta Braves,NL West,88,74,2,,Atlanta-Fulton County Stadium,2119935,26499,4th of 12,,107,108
33,1982,Atlanta Braves,NL West,89,73,1,Lost NLCS (3-0),Atlanta-Fulton County Stadium,1801985,22247,5th of 12,,104,104
34,1981,Atlanta Braves,NL West,50,56,5,,Atlanta-Fulton County Stadium,535418,10708,11th of 12,,103,103
35,1980,Atlanta Braves,NL West,81,80,4,,Atlanta-Fulton County Stadium,1048411,13105,12th of 12,,103,103
36,1979,Atlanta Braves,NL West,66,94,6,,Atlanta-Fulton County Stadium,769465,9740,12th of 12,,108,107
37,1978,Atlanta Braves,NL West,69,93,6,,Atlanta-Fulton County Stadium,904494,11167,12th of 12,,114,112
38,1977,Atlanta Braves,NL West,61,101,6,,Atlanta-Fulton County Stadium,872464,10771,11th of 12,,114,112
39,1976,Atlanta Braves,NL West,70,92,6,,Atlanta-Fulton County Stadium,818179,10101,10th of 12,,108,106
40,1975,Atlanta Braves,NL West,67,94,5,,Atlanta Stadium,534672,6683,11th of 12,,104,103
41,1974,Atlanta Braves,NL West,88,74,3,,Atlanta Stadium,981085,12112,11th of 12,,104,104
42,1973,Atlanta Braves,NL West,76,85,5,,Atlanta Stadium,800655,9885,11th of 12,,108,108
43,1972,Atlanta Braves,NL West,70,84,4,,Atlanta Stadium,752973,9654,10th of 12,,109,109
44,1971,Atlanta Braves,NL West,82,80,3,,Atlanta Stadium,1006320,12272,11th of 12,,107,106
45,1970,Atlanta Braves,NL West,76,86,5,,Atlanta Stadium,1078848,13319,9th of 12,,105,105
46,1969,Atlanta Braves,NL West,93,69,1,Lost NLCS (3-0),Atlanta Stadium,1458320,18004,5th of 12,,101,101
47,1968,Atlanta Braves,NL,81,81,5,,Atlanta Stadium,1126540,13908,5th of 10,,101,101
48,1967,Atlanta Braves,NL,77,85,7,,Atlanta Stadium,1389222,17151,4th of 10,,99,99
49,1966,Atlanta Braves,NL,85,77,5,,Atlanta Stadium,1539801,18778,6th of 10,,102,103
50,1965,Milwaukee Braves,NL,86,76,5,,County Stadium,555584,6859,10th of 10,,99,100
51,1964,Milwaukee Braves,NL,88,74,5,,County Stadium,910911,11246,6th of 10,,100,101
52,1963,Milwaukee Braves,NL,84,78,6,,County Stadium,773018,9427,9th of 10,,98,99
53,1962,Milwaukee Braves,NL,86,76,5,,County Stadium,766921,9468,8th of 10,,96,97
